Date,HomeTeam,AwayTeam,HT,FT
2020-12-16,Leicester,Everton,0-1,0-2
2020-12-16,Fulham,Brighton,0-0,0-0
2020-12-16,Liverpool,Tottenham,1-1,2-1
2020-12-17,Sheffield United,Man United,1-2,2-3
2020-12-17,Aston Villa,Burnley,0-0,0-0
2020-12-19,Crystal Palace,Liverpool,0-3,0-7
2020-12-19,Southampton,Man City,0-1,0-1
2020-12-19,Everton,Arsenal,2-1,2-1
2020-12-19,Newcastle,Fulham,0-1,1-1
2020-12-20,Brighton,Sheffield United,0-0,1-1
2020-12-20,Tottenham,Leicester,0-1,0-2
2020-12-20,Man United,Leeds,4-1,6-2
2020-12-20,West Brom,Aston Villa,0-1,0-3
2020-12-21,Burnley,Wolves,1-0,2-1
2020-12-21,Chelsea,West Ham,1-0,3-0
2020-12-26,Sheffield United,Everton,0-0,0-1
2020-12-26,Arsenal,Chelsea,2-0,3-1
2020-12-26,Man City,Newcastle,1-0,2-0
2020-12-26,Aston Villa,Crystal Palace,1-0,3-0
2020-12-26,Leicester,Man United,1-1,2-2
2020-12-26,Fulham,Southampton,0-0,0-0
2020-12-27,Leeds,Burnley,1-0,1-0
2020-12-27,West Ham,Brighton,0-1,2-2
2020-12-27,Liverpool,West Brom,1-0,1-1
2020-12-27,Wolves,Tottenham,0-1,1-1
2020-12-28,Crystal Palace,Leicester,0-0,1-1
2020-12-28,Chelsea,Aston Villa,1-0,1-1
2020-12-29,Southampton,West Ham,0-0,0-0
2020-12-29,Man United,Wolves,0-0,1-0
2020-12-29,Brighton,Arsenal,0-0,0-1
2020-12-29,Burnley,Sheffield United,1-0,1-0
2020-12-29,West Brom,Leeds,0-4,0-5
2020-12-30,Newcastle,Liverpool,0-0,0-0
2021-01-01,Everton,West Ham,0-0,0-1
2021-01-01,Man United,Aston Villa,1-0,2-1
2021-01-02,Tottenham,Leeds,2-0,3-0
2021-01-02,Crystal Palace,Sheffield United,2-0,2-0
2021-01-02,Brighton,Wolves,1-3,3-3
2021-01-02,West Brom,Arsenal,0-2,0-4
2021-01-03,Newcastle,Leicester,0-0,1-2
2021-01-03,Chelsea,Man City,0-3,1-3
2021-01-04,Southampton,Liverpool,1-0,1-0
2021-01-12,Wolves,Everton,1-1,1-2
2021-01-12,Sheffield United,Newcastle,0-0,1-0
2021-01-12,Burnley,Man United,0-0,0-1
2021-01-13,Man City,Brighton,1-0,1-0
2021-01-13,Tottenham,Fulham,1-0,1-1
2021-01-14,Arsenal,Crystal Palace,0-0,0-0
2021-01-16,Wolves,West Brom,2-1,2-3
2021-01-16,Leeds,Brighton,0-1,0-1
2021-01-16,West Ham,Burnley,1-0,1-0
2021-01-16,Fulham,Chelsea,0-0,0-1
2021-01-16,Leicester,Southampton,1-0,2-0
2021-01-17,Man City,Crystal Palace,1-0,4-0
2021-01-17,Sheffield United,Tottenham,0-2,1-3
2021-01-17,Liverpool,Man United,0-0,0-0
2021-01-18,Arsenal,Newcastle,0-0,3-0
2021-01-19,West Ham,West Brom,1-0,2-1
2021-01-19,Leicester,Chelsea,2-0,2-0
2021-01-20,Man City,Aston Villa,0-0,2-0
2021-01-20,Fulham,Man United,1-1,1-2
2021-01-21,Liverpool,Burnley,0-0,0-1
2021-01-23,Aston Villa,Newcastle,2-0,2-0
2021-01-26,Newcastle,Leeds,0-1,1-2
2021-01-26,Southampton,Arsenal,1-2,1-3
2021-01-26,Crystal Palace,West Ham,1-2,2-3
2021-01-26,West Brom,Man City,0-4,0-5
2021-01-27,Man United,Sheffield United,0-1,1-2
2021-01-27,Everton,Leicester,1-0,1-1
2021-01-27,Burnley,Aston Villa,0-1,3-2
2021-01-27,Chelsea,Wolves,0-0,0-0
2021-01-27,Brighton,Fulham,0-0,0-0
2021-01-28,Tottenham,Liverpool,0-1,1-3
2021-01-30,Everton,Newcastle,0-0,0-2
2021-01-30,Crystal Palace,Wolves,0-0,1-0
