Date,HomeTeam,AwayTeam,HT,FT
2019-08-09,Liverpool,Norwich,4-0,4-1
2019-08-10,West Ham,Man City,0-1,0-5
2019-08-10,Bournemouth,Sheffield United,0-0,1-1
2019-08-10,Burnley,Southampton,0-0,3-0
2019-08-10,Crystal Palace,Everton,0-0,0-0
2019-08-10,Watford,Brighton,0-1,0-3
2019-08-10,Tottenham,Aston Villa,0-1,3-1
2019-08-11,Leicester,Wolves,0-0,0-0
2019-08-11,Newcastle,Arsenal,0-0,0-1
2019-08-11,Man United,Chelsea,1-0,4-0
2019-08-17,Man City,Tottenham,2-1,2-2
2019-08-17,Southampton,Liverpool,0-1,1-2
2019-08-17,Norwich,Newcastle,1-0,3-1
2019-08-17,Aston Villa,Bournemouth,0-2,1-2
2019-08-17,Brighton,West Ham,0-0,1-1
2019-08-17,Arsenal,Burnley,1-1,2-1
2019-08-17,Everton,Watford,1-0,1-0
2019-08-18,Sheffield United,Crystal Palace,0-0,1-0
2019-08-18,Chelsea,Leicester,1-0,1-1
2019-08-19,Wolves,Man United,0-1,1-1
2019-08-23,Aston Villa,Everton,1-0,2-0
2019-08-24,Watford,West Ham,1-1,1-3
2019-08-24,Liverpool,Arsenal,1-0,3-1
2019-08-24,Sheffield United,Leicester,0-1,1-2
2019-08-24,Norwich,Chelsea,2-2,2-3
2019-08-24,Brighton,Southampton,0-0,0-2
2019-08-24,Man United,Crystal Palace,0-1,1-2
2019-08-25,Bournemouth,Man City,1-2,1-3
2019-08-25,Tottenham,Newcastle,0-1,0-1
2019-08-25,Wolves,Burnley,0-1,1-1
2019-08-31,Burnley,Liverpool,0-2,0-3
2019-08-31,West Ham,Norwich,1-0,2-0
2019-08-31,Newcastle,Watford,1-1,1-1
2019-08-31,Man City,Brighton,2-0,4-0
2019-08-31,Leicester,Bournemouth,2-1,3-1
2019-08-31,Chelsea,Sheffield United,2-0,2-2
2019-08-31,Southampton,Man United,0-1,1-1
2019-08-31,Crystal Palace,Aston Villa,0-0,1-0
2019-09-01,Everton,Wolves,2-1,3-2
2019-09-01,Arsenal,Tottenham,1-2,2-2
2019-09-14,Tottenham,Crystal Palace,4-0,4-0
2019-09-14,Wolves,Chelsea,0-3,2-5
2019-09-14,Sheffield United,Southampton,0-0,0-1
2019-09-14,Norwich,Man City,2-1,3-2
2019-09-14,Brighton,Burnley,0-0,1-1
2019-09-14,Liverpool,Newcastle,2-1,3-1
2019-09-14,Man United,Leicester,1-0,1-0
2019-09-15,Bournemouth,Everton,1-1,3-1
2019-09-15,Watford,Arsenal,0-2,2-2
2019-09-16,Aston Villa,West Ham,0-0,0-0
2019-09-20,Southampton,Bournemouth,0-2,1-3
2019-09-21,Man City,Watford,5-0,8-0
2019-09-21,Everton,Sheffield United,0-1,0-2
2019-09-21,Newcastle,Brighton,0-0,0-0
2019-09-21,Leicester,Tottenham,0-1,2-1
2019-09-21,Burnley,Norwich,2-0,2-0
2019-09-22,Crystal Palace,Wolves,0-0,1-1
2019-09-22,West Ham,Man United,1-0,2-0
2019-09-22,Arsenal,Aston Villa,0-1,3-2
2019-09-22,Chelsea,Liverpool,0-2,1-2
2019-09-28,Wolves,Watford,1-0,2-0
2019-09-28,Sheffield United,Liverpool,0-0,0-1
2019-09-28,Aston Villa,Burnley,1-0,2-2
2019-09-28,Bournemouth,West Ham,1-1,2-2
2019-09-28,Chelsea,Brighton,0-0,2-0
2019-09-28,Crystal Palace,Norwich,1-0,2-0
2019-09-28,Tottenham,Southampton,2-1,2-1
2019-09-28,Everton,Man City,1-1,1-3
2019-09-29,Leicester,Newcastle,1-0,5-0
2019-09-30,Man United,Arsenal,1-0,1-1
2019-10-05,Brighton,Tottenham,2-0,3-0
2019-10-05,Burnley,Everton,0-0,1-0
2019-10-05,Liverpool,Leicester,1-0,2-1
2019-10-05,Norwich,Aston Villa,0-2,1-5
2019-10-05,Watford,Sheffield United,0-0,0-0
2019-10-05,West Ham,Crystal Palace,0-0,1-2
2019-10-06,Arsenal,Bournemouth,1-0,1-0
2019-10-06,Man City,Wolves,0-0,0-2
2019-10-06,Southampton,Chelsea,1-3,1-4
2019-10-06,Newcastle,Man United,0-0,1-0
2019-10-19,Crystal Palace,Man City,0-2,0-2
2019-10-19,Wolves,Southampton,0-0,1-1
2019-10-19,Tottenham,Watford,0-1,1-1
2019-10-19,Leicester,Burnley,1-1,2-1
2019-10-19,Everton,West Ham,1-0,2-0
2019-10-19,Bournemouth,Norwich,0-0,0-0
2019-10-19,Aston Villa,Brighton,1-1,2-1
2019-10-19,Chelsea,Newcastle,0-0,1-0
2019-10-20,Man United,Liverpool,1-0,1-1
2019-10-21,Sheffield United,Arsenal,1-0,1-0
2019-10-25,Southampton,Leicester,0-5,0-9
2019-10-26,West Ham,Sheffield United,1-0,1-1
2019-10-26,Watford,Bournemouth,0-0,0-0
2019-10-26,Burnley,Chelsea,0-2,2-4
2019-10-26,Man City,Aston Villa,0-0,3-0
2019-10-26,Brighton,Everton,1-1,3-2
2019-10-27,Newcastle,Wolves,1-0,1-1
2019-10-27,Arsenal,Crystal Palace,2-1,2-2
2019-10-27,Liverpool,Tottenham,0-1,2-1
