Date,HomeTeam,AwayTeam,HT,FT
2023-08-11,Burnley,Man City,0-2,0-3
2023-08-12,Arsenal,Nott'm Forest,2-0,2-1
2023-08-12,Bournemouth,West Ham,0-0,1-1
2023-08-12,Brighton,Luton,1-0,4-1
2023-08-12,Everton,Fulham,0-0,0-1
2023-08-12,Sheffield United,Crystal Palace,0-0,0-1
2023-08-12,Newcastle,Aston Villa,2-1,5-1
2023-08-13,Brentford,Tottenham,2-2,2-2
2023-08-13,Chelsea,Liverpool,1-1,1-1
2023-08-14,Man United,Wolves,0-0,1-0
2023-08-18,Nott'm Forest,Sheffield United,1-0,2-1
2023-08-19,Fulham,Brentford,0-1,0-3
2023-08-19,Liverpool,Bournemouth,2-1,3-1
2023-08-19,Wolves,Brighton,0-1,1-4
2023-08-19,Tottenham,Man United,0-0,2-0
2023-08-19,Man City,Newcastle,1-0,1-0
2023-08-20,Aston Villa,Everton,2-0,4-0
2023-08-20,West Ham,Chelsea,1-1,3-1
2023-08-21,Crystal Palace,Arsenal,0-0,0-1
2023-08-25,Chelsea,Luton,1-0,3-0
2023-08-26,Brighton,West Ham,0-1,1-3
2023-08-26,Man United,Nott'm Forest,1-2,3-2
2023-08-26,Everton,Wolves,0-0,0-1
2023-08-26,Arsenal,Fulham,0-1,2-2
2023-08-26,Bournemouth,Tottenham,0-1,0-2
2023-08-26,Brentford,Crystal Palace,1-0,1-1
2023-08-27,Burnley,Aston Villa,0-2,1-3
2023-08-27,Sheffield United,Man City,0-0,1-2
2023-08-27,Newcastle,Liverpool,1-0,1-2
2023-09-01,Luton,West Ham,0-1,1-2
2023-09-02,Brighton,Newcastle,1-0,3-1
2023-09-02,Chelsea,Nott'm Forest,0-0,0-1
2023-09-02,Man City,Fulham,2-1,5-1
2023-09-02,Brentford,Bournemouth,1-1,2-2
2023-09-02,Sheffield United,Everton,2-1,2-2
2023-09-02,Burnley,Tottenham,1-2,2-5
2023-09-03,Crystal Palace,Wolves,0-0,3-2
2023-09-03,Liverpool,Aston Villa,2-0,3-0
2023-09-03,Arsenal,Man United,1-1,3-1
2023-09-16,West Ham,Man City,1-0,1-3
2023-09-16,Wolves,Liverpool,1-0,1-3
2023-09-16,Aston Villa,Crystal Palace,0-0,3-1
2023-09-16,Fulham,Luton,0-0,1-0
2023-09-16,Man United,Brighton,0-1,1-3
2023-09-16,Tottenham,Sheffield United,0-0,2-1
2023-09-16,Newcastle,Brentford,0-0,1-0
2023-09-17,Bournemouth,Chelsea,0-0,0-0
2023-09-17,Everton,Arsenal,0-0,0-1
2023-09-18,Nott'm Forest,Burnley,0-1,1-1
2023-09-23,Crystal Palace,Fulham,0-0,0-0
2023-09-23,Luton,Wolves,0-0,1-1
2023-09-23,Man City,Nott'm Forest,2-0,2-0
2023-09-23,Brentford,Everton,1-1,1-3
2023-09-23,Burnley,Man United,0-1,0-1
2023-09-24,Arsenal,Tottenham,1-1,2-2
2023-09-24,Brighton,Bournemouth,1-1,3-1
2023-09-24,Chelsea,Aston Villa,0-0,0-1
2023-09-24,Liverpool,West Ham,1-1,3-1
2023-09-24,Sheffield United,Newcastle,0-3,0-8
2023-09-30,Tottenham,Liverpool,1-1,2-1
