Date,HomeTeam,AwayTeam,HT,FT
2023-09-30,Wolves,Man City,1-0,2-1
2023-09-30,West Ham,Sheffield United,2-0,2-0
2023-09-30,Newcastle,Burnley,1-0,2-0
2023-09-30,Bournemouth,Arsenal,0-2,0-4
2023-09-30,Everton,Luton,1-2,1-2
2023-09-30,Aston Villa,Brighton,3-0,6-1
2023-09-30,Man United,Crystal Palace,0-1,0-1
2023-10-01,Nott'm Forest,Brentford,0-0,1-1
2023-10-02,Fulham,Chelsea,0-2,0-2
2023-10-03,Luton,Burnley,0-1,1-2
2023-10-07,Man United,Brentford,0-1,2-1
2023-10-07,Crystal Palace,Nott'm Forest,0-0,0-0
2023-10-07,Fulham,Sheffield United,0-0,3-1
2023-10-07,Everton,Bournemouth,2-0,3-0
2023-10-07,Burnley,Chelsea,1-1,1-4
2023-10-07,Luton,Tottenham,0-0,0-1
2023-10-08,Brighton,Liverpool,1-2,2-2
2023-10-08,West Ham,Newcastle,1-0,2-2
2023-10-08,Wolves,Aston Villa,0-0,1-1
2023-10-08,Arsenal,Man City,0-0,1-0
2023-10-21,Sheffield United,Man United,1-1,1-2
2023-10-21,Chelsea,Arsenal,1-0,2-2
2023-10-21,Newcastle,Crystal Palace,3-0,4-0
2023-10-21,Nott'm Forest,Luton,0-0,2-2
2023-10-21,Brentford,Burnley,1-0,3-0
2023-10-21,Bournemouth,Wolves,1-0,1-2
2023-10-21,Liverpool,Everton,0-0,2-0
2023-10-21,Man City,Brighton,2-0,2-1
2023-10-22,Aston Villa,West Ham,1-0,4-1
2023-10-23,Tottenham,Fulham,1-0,2-0
2023-10-27,Crystal Palace,Tottenham,0-0,1-2
2023-10-28,Chelsea,Brentford,0-0,0-2
2023-10-28,Arsenal,Sheffield United,1-0,5-0
2023-10-28,Bournemouth,Burnley,1-1,2-1
2023-10-28,Wolves,Newcastle,1-2,2-2
2023-10-29,Man United,Man City,0-1,0-3
2023-10-29,Liverpool,Nott'm Forest,2-0,3-0
2023-10-29,West Ham,Everton,0-0,0-1
2023-10-29,Aston Villa,Luton,1-0,3-1
2023-10-29,Brighton,Fulham,1-0,1-1
2023-11-04,Fulham,Man United,0-0,0-1
2023-11-04,Brentford,West Ham,1-2,3-2
2023-11-04,Burnley,Crystal Palace,0-1,0-2
2023-11-04,Everton,Brighton,1-0,1-1
2023-11-04,Man City,Bournemouth,3-0,6-1
2023-11-04,Sheffield United,Wolves,0-0,2-1
2023-11-04,Newcastle,Arsenal,0-0,1-0
2023-11-05,Nott'm Forest,Aston Villa,1-0,2-0
2023-11-05,Luton,Liverpool,0-0,1-1
2023-11-06,Tottenham,Chelsea,1-1,1-4
2023-11-11,Bournemouth,Newcastle,0-0,2-0
2023-11-11,Man United,Luton,0-0,1-0
2023-11-11,Arsenal,Burnley,1-0,3-1
2023-11-11,Wolves,Tottenham,0-1,2-1
2023-11-11,Crystal Palace,Everton,1-1,2-3
2023-11-12,Aston Villa,Fulham,2-0,3-1
2023-11-12,Brighton,Sheffield United,1-0,1-1
2023-11-12,Liverpool,Brentford,1-0,3-0
2023-11-12,West Ham,Nott'm Forest,1-1,3-2
2023-11-12,Chelsea,Man City,2-2,4-4
2023-11-25,Sheffield United,Bournemouth,0-2,1-3
2023-11-25,Brentford,Arsenal,0-0,0-1
2023-11-25,Nott'm Forest,Brighton,1-2,2-3
2023-11-25,Luton,Crystal Palace,0-0,2-1
2023-11-25,Burnley,West Ham,0-0,1-2
2023-11-25,Newcastle,Chelsea,1-1,4-1
2023-11-25,Man City,Liverpool,1-0,1-1
2023-11-26,Tottenham,Aston Villa,1-1,1-2
2023-11-26,Everton,Man United,0-1,0-3
2023-11-27,Fulham,Wolves,1-1,3-2
2023-12-02,Nott'm Forest,Everton,0-0,0-1
2023-12-02,Burnley,Sheffield United,2-0,5-0
2023-12-02,Newcastle,Man United,0-0,1-0
2023-12-02,Arsenal,Wolves,2-0,2-1
2023-12-02,Brentford,Luton,0-0,3-1
2023-12-03,Bournemouth,Aston Villa,1-1,2-2
2023-12-03,Chelsea,Brighton,2-1,3-2
2023-12-03,Liverpool,Fulham,2-2,4-3
2023-12-03,West Ham,Crystal Palace,1-0,1-1
2023-12-03,Man City,Tottenham,2-1,3-3
2023-12-05,Wolves,Burnley,1-0,1-0
2023-12-05,Luton,Arsenal,1-2,3-4
2023-12-06,Sheffield United,Liverpool,0-1,0-2
2023-12-06,Aston Villa,Man City,0-0,1-0
2023-12-06,Man United,Chelsea,1-1,2-1
2023-12-06,Fulham,Nott'm Forest,2-0,5-0
2023-12-06,Brighton,Brentford,1-1,2-1
2023-12-06,Crystal Palace,Bournemouth,0-1,0-2
2023-12-07,Everton,Newcastle,0-0,3-0
2023-12-07,Tottenham,West Ham,1-0,1-2
2023-12-09,Wolves,Nott'm Forest,1-1,1-1
2023-12-09,Sheffield United,Brentford,1-0,1-0
2023-12-09,Aston Villa,Arsenal,1-0,1-0
2023-12-09,Brighton,Burnley,0-1,1-1
2023-12-09,Crystal Palace,Liverpool,0-0,1-2
2023-12-09,Man United,Bournemouth,0-1,0-3
2023-12-10,Everton,Chelsea,0-0,2-0
2023-12-10,Fulham,West Ham,3-0,5-0
2023-12-10,Luton,Man City,1-0,1-2
2023-12-10,Tottenham,Newcastle,2-0,4-1
2023-12-15,Nott'm Forest,Tottenham,0-1,0-2
2023-12-16,Burnley,Everton,0-2,0-2
2023-12-16,Chelsea,Sheffield United,0-0,2-0
2023-12-16,Man City,Crystal Palace,1-0,2-2
2023-12-16,Newcastle,Fulham,0-0,3-0
2023-12-17,West Ham,Wolves,2-0,3-0
2023-12-17,Liverpool,Man United,0-0,0-0
2023-12-17,Arsenal,Brighton,0-0,2-0
2023-12-17,Brentford,Aston Villa,1-0,1-2
2023-12-21,Crystal Palace,Brighton,1-0,1-1
2023-12-22,Aston Villa,Sheffield United,0-0,1-1
2023-12-23,West Ham,Man United,0-0,2-0
2023-12-23,Fulham,Burnley,0-0,0-2
2023-12-23,Luton,Newcastle,1-0,1-0
2023-12-23,Nott'm Forest,Bournemouth,0-0,2-3
2023-12-23,Tottenham,Everton,2-0,2-1
2023-12-23,Liverpool,Arsenal,1-1,1-1
2023-12-24,Wolves,Chelsea,0-0,2-1
2023-12-26,Man United,Aston Villa,0-2,3-2
2023-12-26,Burnley,Liverpool,0-1,0-2
2023-12-26,Newcastle,Nott'm Forest,1-1,1-3
2023-12-26,Bournemouth,Fulham,1-0,3-0
2023-12-26,Sheffield United,Luton,0-1,2-3
2023-12-27,Brentford,Wolves,1-3,1-4
2023-12-27,Chelsea,Crystal Palace,1-1,2-1
2023-12-27,Everton,Man City,1-0,1-3
2023-12-28,Brighton,Tottenham,2-0,4-2
2023-12-28,Arsenal,West Ham,0-1,0-2
2023-12-30,Wolves,Everton,1-0,3-0
2023-12-30,Nott'm Forest,Man United,0-0,2-1
2023-12-30,Man City,Sheffield United,1-0,2-0
2023-12-30,Aston Villa,Burnley,2-1,3-2
2023-12-30,Crystal Palace,Brentford,2-1,3-1
2023-12-30,Luton,Chelsea,0-2,2-3
2023-12-31,Fulham,Arsenal,1-1,2-1
2023-12-31,Tottenham,Bournemouth,1-0,3-1
2024-01-01,Liverpool,Newcastle,0-0,4-2
2024-01-02,West Ham,Brighton,0-0,0-0
2024-01-12,Burnley,Luton,1-0,1-1
2024-01-13,Chelsea,Fulham,1-0,1-0
2024-01-13,Newcastle,Man City,2-1,2-3
2024-01-14,Everton,Aston Villa,0-0,0-0
2024-01-14,Man United,Tottenham,2-1,2-2
2024-01-20,Brentford,Nott'm Forest,1-1,3-2
2024-01-20,Arsenal,Crystal Palace,2-0,5-0
2024-01-21,Sheffield United,West Ham,1-1,2-2
2024-01-21,Bournemouth,Liverpool,0-0,0-4
2024-01-22,Brighton,Wolves,0-0,0-0
2024-01-30,Nott'm Forest,Arsenal,0-0,1-2
2024-01-30,Fulham,Everton,0-0,0-0
2024-01-30,Luton,Brighton,3-0,4-0
2024-01-30,Crystal Palace,Sheffield United,2-2,3-2
2024-01-30,Aston Villa,Newcastle,0-2,1-3
2024-01-31,Liverpool,Chelsea,2-0,4-1
2024-01-31,Tottenham,Brentford,0-1,3-2
2024-01-31,Man City,Burnley,2-0,3-1
2024-02-01,Wolves,Man United,0-2,3-4
2024-02-01,West Ham,Bournemouth,0-1,1-1
2024-02-03,Everton,Tottenham,1-2,2-2
2024-02-03,Brighton,Crystal Palace,3-0,4-1
2024-02-03,Burnley,Fulham,0-2,2-2
2024-02-03,Newcastle,Luton,2-2,4-4
2024-02-03,Sheffield United,Aston Villa,0-4,0-5
2024-02-04,Man United,West Ham,1-0,3-0
2024-02-04,Arsenal,Liverpool,1-1,3-1
2024-02-04,Bournemouth,Nott'm Forest,1-1,1-1
2024-02-04,Chelsea,Wolves,1-2,2-4
2024-02-05,Brentford,Man City,1-1,1-3
2024-02-10,Wolves,Brentford,0-1,0-2
2024-02-10,Man City,Everton,0-0,2-0
2024-02-10,Fulham,Bournemouth,2-0,3-1
2024-02-10,Liverpool,Burnley,1-1,3-1
2024-02-10,Luton,Sheffield United,0-2,1-3
2024-02-10,Tottenham,Brighton,0-1,2-1
2024-02-10,Nott'm Forest,Newcastle,2-2,2-3
2024-02-11,Aston Villa,Man United,0-1,1-2
2024-02-11,West Ham,Arsenal,0-4,0-6
2024-02-12,Crystal Palace,Chelsea,1-0,1-3
2024-02-17,Man City,Chelsea,0-1,1-1
2024-02-17,Tottenham,Wolves,0-1,1-2
2024-02-17,Nott'm Forest,West Ham,1-0,2-0
2024-02-17,Burnley,Arsenal,0-2,0-5
2024-02-17,Fulham,Aston Villa,0-1,1-2
2024-02-17,Newcastle,Bournemouth,0-0,2-2
2024-02-17,Brentford,Liverpool,0-1,1-4
2024-02-18,Sheffield United,Brighton,0-2,0-5
2024-02-18,Luton,Man United,1-2,1-2
2024-02-19,Everton,Crystal Palace,0-0,1-1
2024-02-20,Man City,Brentford,0-0,1-0
2024-02-21,Liverpool,Luton,0-1,4-1
2024-02-24,Crystal Palace,Burnley,0-0,3-0
2024-02-24,Arsenal,Newcastle,2-0,4-1
2024-02-24,Bournemouth,Man City,0-1,0-1
2024-02-24,Brighton,Everton,0-0,1-1
2024-02-24,Aston Villa,Nott'm Forest,3-1,4-2
2024-02-24,Man United,Fulham,0-0,1-2
2024-02-25,Wolves,Sheffield United,1-0,1-0
2024-02-26,West Ham,Brentford,2-1,4-2
2024-03-02,Nott'm Forest,Liverpool,0-0,0-1
2024-03-02,Tottenham,Crystal Palace,0-0,3-1
2024-03-02,Luton,Aston Villa,0-2,2-3
2024-03-02,Newcastle,Wolves,2-0,3-0
2024-03-02,Everton,West Ham,0-0,1-3
2024-03-02,Brentford,Chelsea,0-1,2-2
2024-03-02,Fulham,Brighton,2-0,3-0
2024-03-03,Burnley,Bournemouth,0-1,0-2
2024-03-03,Man City,Man United,0-1,3-1
2024-03-04,Sheffield United,Arsenal,0-5,0-6
2024-03-09,Arsenal,Brentford,1-1,2-1
2024-03-09,Crystal Palace,Luton,1-0,1-1
2024-03-09,Wolves,Fulham,0-0,2-1
2024-03-09,Man United,Everton,2-0,2-0
2024-03-09,Bournemouth,Sheffield United,0-1,2-2
2024-03-10,Aston Villa,Tottenham,0-0,0-4
2024-03-10,Brighton,Nott'm Forest,1-0,1-0
2024-03-10,West Ham,Burnley,0-2,2-2
2024-03-10,Liverpool,Man City,0-1,1-1
2024-03-11,Chelsea,Newcastle,1-1,3-2
2024-03-13,Bournemouth,Luton,0-3,4-3
2024-03-16,Luton,Nott'm Forest,0-1,1-1
2024-03-16,Burnley,Brentford,1-0,2-1
2024-03-16,Fulham,Tottenham,1-0,3-0
2024-03-17,West Ham,Aston Villa,1-0,1-1
2024-03-30,Aston Villa,Wolves,1-0,2-0
2024-03-30,Tottenham,Luton,0-1,2-1
2024-03-30,Brentford,Man United,0-0,1-1
2024-03-30,Sheffield United,Fulham,0-0,3-3
2024-03-30,Chelsea,Burnley,1-0,2-2
2024-03-30,Bournemouth,Everton,0-0,2-1
2024-03-30,Newcastle,West Ham,1-2,4-3
2024-03-30,Nott'm Forest,Crystal Palace,0-1,1-1
2024-03-31,Liverpool,Brighton,1-1,2-1
2024-03-31,Man City,Arsenal,0-0,0-0
2024-04-02,West Ham,Tottenham,1-1,1-1
2024-04-02,Bournemouth,Crystal Palace,0-0,1-0
2024-04-02,Burnley,Wolves,1-1,1-1
2024-04-02,Newcastle,Everton,1-0,1-1
2024-04-02,Nott'm Forest,Fulham,3-0,3-1
2024-04-03,Arsenal,Luton,2-0,2-0
2024-04-03,Brentford,Brighton,0-0,0-0
2024-04-03,Man City,Aston Villa,2-1,4-1
2024-04-04,Liverpool,Sheffield United,1-0,3-1
2024-04-04,Chelsea,Man United,2-2,4-3
2024-04-06,Luton,Bournemouth,0-0,2-1
2024-04-06,Brighton,Arsenal,0-1,0-3
2024-04-06,Fulham,Newcastle,0-0,0-1
2024-04-06,Wolves,West Ham,1-0,1-2
2024-04-06,Aston Villa,Brentford,1-0,3-3
2024-04-06,Everton,Burnley,1-0,1-0
2024-04-06,Crystal Palace,Man City,1-1,2-4
2024-04-07,Man United,Liverpool,0-1,2-2
2024-04-07,Sheffield United,Chelsea,1-1,2-2
2024-04-07,Tottenham,Nott'm Forest,1-1,3-1
2024-04-13,Nott'm Forest,Wolves,1-1,2-2
2024-04-13,Man City,Luton,1-0,5-1
2024-04-13,Bournemouth,Man United,2-1,2-2
2024-04-13,Brentford,Sheffield United,0-0,2-0
2024-04-13,Newcastle,Tottenham,2-0,4-0
2024-04-13,Burnley,Brighton,0-0,1-1
2024-04-14,Liverpool,Crystal Palace,0-1,0-1
2024-04-14,West Ham,Fulham,0-1,0-2
2024-04-14,Arsenal,Aston Villa,0-0,0-2
2024-04-15,Chelsea,Everton,4-0,6-0
2024-04-20,Luton,Brentford,0-2,1-5
2024-04-20,Sheffield United,Burnley,0-2,1-4
2024-04-20,Wolves,Arsenal,0-1,0-2
2024-04-21,Crystal Palace,West Ham,4-1,5-2
2024-04-21,Everton,Nott'm Forest,1-0,2-0
2024-04-21,Aston Villa,Bournemouth,1-1,3-1
2024-04-21,Fulham,Liverpool,1-1,1-3
2024-04-23,Arsenal,Chelsea,1-0,5-0
2024-04-24,Wolves,Bournemouth,0-1,0-1
2024-04-24,Crystal Palace,Newcastle,0-0,2-0
2024-04-24,Everton,Liverpool,1-0,2-0
2024-04-24,Man United,Sheffield United,1-1,4-2
2024-04-25,Brighton,Man City,0-3,0-4
2024-04-27,Aston Villa,Chelsea,2-0,2-2
2024-04-27,Everton,Brentford,0-0,1-0
2024-04-27,Newcastle,Sheffield United,1-1,5-1
2024-04-27,Wolves,Luton,1-0,2-1
2024-04-27,Fulham,Crystal Palace,0-0,1-1
2024-04-27,West Ham,Liverpool,1-0,2-2
2024-04-27,Man United,Burnley,0-0,1-1
2024-04-28,Bournemouth,Brighton,1-0,3-0
2024-04-28,Tottenham,Arsenal,0-3,2-3
2024-04-28,Nott'm Forest,Man City,0-1,0-2
2024-05-02,Chelsea,Tottenham,1-0,2-0
2024-05-03,Luton,Everton,1-1,1-1
2024-05-04,Sheffield United,Nott'm Forest,1-1,1-3
2024-05-04,Burnley,Newcastle,0-3,1-4
2024-05-04,Man City,Wolves,3-0,5-1
2024-05-04,Arsenal,Bournemouth,1-0,3-0
2024-05-04,Brentford,Fulham,0-0,0-0
2024-05-05,Brighton,Aston Villa,0-0,1-0
2024-05-05,Chelsea,West Ham,3-0,5-0
2024-05-05,Liverpool,Tottenham,2-0,4-2
2024-05-06,Crystal Palace,Man United,2-0,4-0
2024-05-11,Nott'm Forest,Chelsea,1-1,2-3
2024-05-11,Wolves,Crystal Palace,0-2,1-3
2024-05-11,Tottenham,Burnley,1-1,2-1
2024-05-11,West Ham,Luton,0-1,3-1
2024-05-11,Everton,Sheffield United,1-0,1-0
2024-05-11,Bournemouth,Brentford,0-0,1-2
2024-05-11,Fulham,Man City,0-1,0-4
2024-05-11,Newcastle,Brighton,1-1,1-1
2024-05-12,Man United,Arsenal,0-1,0-1
2024-05-13,Aston Villa,Liverpool,1-2,3-3
2024-05-14,Tottenham,Man City,0-0,0-2
2024-05-15,Brighton,Chelsea,0-1,1-2
2024-05-15,Man United,Newcastle,1-0,3-2
2024-05-19,Crystal Palace,Aston Villa,2-0,5-0
2024-05-19,Luton,Fulham,1-2,2-4
2024-05-19,Liverpool,Wolves,2-0,2-0
2024-05-19,Chelsea,Bournemouth,1-0,2-1
2024-05-19,Man City,West Ham,2-1,3-1
2024-05-19,Brighton,Man United,0-0,0-2
2024-05-19,Brentford,Newcastle,0-3,2-4
2024-05-19,Arsenal,Everton,1-1,2-1
2024-05-19,Burnley,Nott'm Forest,0-2,1-2
2024-05-19,Sheffield United,Tottenham,0-1,0-3
