HomeTeam,AwayTeam,Date,FT,HT
Brighton,Southampton,2024-11-29,1-1,1-0
Brentford,Leicester,2024-11-30,4-1,3-1
Crystal Palace,Newcastle,2024-11-30,1-1,0-0
Nott'm Forest,Ipswich,2024-11-30,1-0,0-0
Wolves,Bournemouth,2024-11-30,2-4,1-3
West Ham,Arsenal,2024-11-30,2-5,2-5
Tottenham,Fulham,2024-12-01,1-1,0-0
Liverpool,Man City,2024-12-01,2-0,1-0
Chelsea,Aston Villa,2024-12-01,3-0,2-0
Man United,Everton,2024-12-01,4-0,2-0
Ipswich,Crystal Palace,2024-12-03,0-1,0-0
Leicester,West Ham,2024-12-03,3-1,1-0
Everton,Wolves,2024-12-04,4-0,2-0
Man City,Nott'm Forest,2024-12-04,3-0,2-0
Newcastle,Liverpool,2024-12-04,3-3,1-0
Southampton,Chelsea,2024-12-04,1-5,1-3
Arsenal,Man United,2024-12-04,2-0,0-0
Aston Villa,Brentford,2024-12-04,3-1,3-0
Bournemouth,Tottenham,2024-12-05,1-0,1-0
Fulham,Brighton,2024-12-05,3-1,1-0
Man United,Nott'm Forest,2024-12-07,2-3,1-1
Crystal Palace,Man City,2024-12-07,2-2,1-1
Aston Villa,Southampton,2024-12-07,1-0,1-0
Brentford,Newcastle,2024-12-07,4-2,2-2
Fulham,Arsenal,2024-12-08,1-1,1-0
Ipswich,Bournemouth,2024-12-08,1-2,1-0
Leicester,Brighton,2024-12-08,2-2,0-1
Tottenham,Chelsea,2024-12-08,3-4,2-1
West Ham,Wolves,2024-12-09,2-1,0-0
Wolves,Ipswich,2024-12-14,1-2,0-1
Newcastle,Leicester,2024-12-14,4-0,1-0
Nott'm Forest,Aston Villa,2024-12-14,2-1,0-0
Arsenal,Everton,2024-12-14,0-0,0-0
Liverpool,Fulham,2024-12-14,2-2,0-1
Man City,Man United,2024-12-15,1-2,1-0
Chelsea,Brentford,2024-12-15,2-1,1-0
Southampton,Tottenham,2024-12-15,0-5,0-5
Brighton,Crystal Palace,2024-12-15,1-3,0-2
Bournemouth,West Ham,2024-12-16,1-1,0-0
Aston Villa,Man City,2024-12-21,2-1,1-0
Brentford,Nott'm Forest,2024-12-21,0-2,0-1
Ipswich,Newcastle,2024-12-21,0-4,0-3
West Ham,Brighton,2024-12-21,1-1,0-0
Crystal Palace,Arsenal,2024-12-21,1-5,1-3
Man United,Bournemouth,2024-12-22,0-3,0-1
Tottenham,Liverpool,2024-12-22,3-6,1-3
Leicester,Wolves,2024-12-22,0-3,0-3
Everton,Chelsea,2024-12-22,0-0,0-0
Fulham,Southampton,2024-12-22,0-0,0-0
Man City,Everton,2024-12-26,1-1,1-1
Bournemouth,Crystal Palace,2024-12-26,0-0,0-0
Chelsea,Fulham,2024-12-26,1-2,1-0
Newcastle,Aston Villa,2024-12-26,3-0,1-0
Nott'm Forest,Tottenham,2024-12-26,1-0,1-0
Southampton,West Ham,2024-12-26,0-1,0-0
Wolves,Man United,2024-12-26,2-0,0-0
Liverpool,Leicester,2024-12-26,3-1,1-1
Brighton,Brentford,2024-12-27,0-0,0-0
Arsenal,Ipswich,2024-12-27,1-0,1-0
West Ham,Liverpool,2024-12-29,0-5,0-3
Tottenham,Wolves,2024-12-29,2-2,2-1
Fulham,Bournemouth,2024-12-29,2-2,1-0
Leicester,Man City,2024-12-29,0-2,0-1
Crystal Palace,Southampton,2024-12-29,2-1,1-1
